,text
6,"Хто везе, того ще й пілганяють."
2,На убогого всюди капає.
0,Бідному все вітер у очі віє.
3,"У бідного біда скаче, а дитина Їсти плаче."
1,"Інший молодий годами, та старий бідами."
4,Нужда та праця в могилу кладе.
5,Від горя хворість - від з хворості смерть.
7,"Як черв'як у дереві, так біда в серці."
8,"Журба гірша, як хвороба."
9,Журба плугом по серцю оре.
10,"Посидь-но, смутку, в кутку."
12,"Нудьгу годую, журбу сповиваю, а сум колишу."
11,Рада б зірка зійти чорна хмара заступає.
13,Доки сонце зійде - довго намерзнешся.
